address,first_txn,last_txn,lifecycle_days,total_txns,avg_daily_txns,out_degree,in_degree,total_income,total_expense,final_balance
0x09278b36863be4ccd3d0c22d643e8062d7a11377,2025-02-21 15:48:47,2025-02-28 23:22:23,7,165,23.571428571428573,96,69,20020564.702952195,10086.697216616663,20010478.00573558
0x0a3b4bde9116a950a036204bf0d7a16d285f8995,2025-02-25 03:17:59,2025-02-28 21:37:23,3,61,20.333333333333332,14,47,488.18875524148467,488.18830827916776,0.0004469623169143233
0x0c014567daff377c36e032a2593f9f1177f77750,2025-02-25 05:00:23,2025-02-25 05:00:23,0,1,0.0,0,1,36.999986400283035,0.0,36.999986400283035
0x0e8c1e2881f35ef20343264862a242fb749d6b35,2025-02-21 15:50:47,2025-03-03 08:33:23,9,173,19.22222222222222,93,80,2020172337.5717752,10042.568990167878,2020162295.002785
0x0fa09c3a328792253f8dee7116848723b72a6d2e,2025-02-18 14:53:23,2025-03-05 06:44:23,14,57,4.071428571428571,45,12,161818.2450394669,0.15999999999999998,161818.0850394669
0x140c9ab92347734641b1a7c124ffdee58c20c3e3,2025-02-21 15:49:47,2025-03-03 11:36:47,9,223,24.77777777777778,87,136,2020020734.7469087,10257.744467304621,2020010477.0024414
0x1512fcb09463a61862b73ec09b9b354af1790268,2025-02-21 16:04:47,2025-03-03 09:33:47,9,192,21.333333333333332,76,116,20010004.555846065,10004.554215404218,20000000.00163066
0x1542368a03ad1f03d96d51b414f4738961cf4443,2025-02-21 15:19:47,2025-03-01 17:01:23,8,40,5.0,10,30,20166818.10016789,0.0,20166818.10016789
0x1bb0970508316dc735329752a4581e0a4babc6b4,2025-02-21 15:50:59,2025-03-03 07:09:11,9,136,15.11111111111111,71,65,20182549.359123066,10262.353320908736,20172287.00580216
0x1eb27f136bfe7947f80d6cee3cf0bfdf92b45e57,2025-02-21 15:48:35,2025-03-03 08:37:23,9,217,24.11111111111111,119,98,20020495.427956477,10017.405041107955,20010478.022915367
0x21032176b43d9f7e9410fb37290a78f4fed6044c,2025-02-21 16:04:35,2025-03-03 09:38:35,9,106,11.777777777777779,65,41,20010044.431426615,10044.402504911659,20000000.0289217
0x2290937a4498c96effb87b8371a33d108f8d433f,2025-02-21 15:49:35,2025-03-03 08:56:47,9,296,32.888888888888886,118,178,2020177316.553302,10021.550329339865,2020167295.0029726
0x23db729908137cb60852f2936d2b5c6de0e1c887,2025-02-21 15:49:35,2025-02-28 23:07:35,7,173,24.714285714285715,76,97,20015505.06719365,10028.064679351632,20005477.0025143
0x30a822cdd2782d2b2a12a08526452e885978fa1d,2025-02-21 15:49:47,2025-03-03 10:02:11,9,180,20.0,106,74,2020177095.0069983,10000.001882235096,2020167095.005116
0x363908dF2b0890E7E5C1E403935133094287D7D1,2025-02-22 18:49:11,2025-02-23 19:39:35,1,7,7.0,0,0,0.0,0.0,0.0
0x36ed3c0213565530c35115d93a80f9c04d94e4cb,2025-02-21 14:56:11,2025-03-01 17:00:35,8,57,7.125,2,55,10020144647.011297,10000.0,10020134647.011297
0x3a21f4e6bbe527d347ca7c157f4233c935779847,2025-02-21 15:48:11,2025-03-01 02:12:35,7,293,41.857142857142854,107,186,20010091.6159735,10003.612705601106,20000088.0032679
0x40e98feeebad7ddb0f0534ccaa617427ea10187e,2025-02-21 15:50:47,2025-03-03 09:24:11,9,253,28.11111111111111,92,161,2020137073.9250839,10078.922342520811,2020126995.0027413
0x4571bd67d14280e40bf3910bd39fbf60834f900a,2025-02-22 06:28:23,2025-02-28 22:19:11,6,223,37.166666666666664,83,140,10000.00236561702,9999.99950187718,0.0028637398390856106
0x47666fab8bd0ac7003bce3f5c3585383f09486e2,2025-02-21 14:15:11,2025-04-02 23:13:35,40,4458,111.45,67,4392,59039431906.41383,17976581.004282206,59021455325.40955
0x4c198b3b5f3a4b1aa706dac73d826c2b795ccd67,2025-02-21 15:52:23,2025-03-03 09:57:23,9,146,16.22222222222222,83,63,20177395.190891106,10000.18773559031,20167395.003155515
0x51e9d833ecae4e8d9d8be17300aee6d3398c135d,2025-02-21 15:48:23,2025-03-03 08:28:35,9,215,23.88888888888889,130,85,20015620.01096007,10143.003273985081,20005477.007686082
0x52207ec7b1b43aa5db116931a904371ae2c1619e,2025-02-21 15:48:47,2025-03-03 09:57:23,9,189,21.0,111,78,20015574.52395217,10096.512790631616,20005478.01116154
0x55cca2f5eb07907696afe4b9db5102bce5feb734,2025-02-21 16:05:11,2025-03-06 09:18:11,12,170,14.166666666666666,62,108,20010158.398377776,10158.396827953991,20000000.00154982
0x5af75eab6bec227657fa3e749a8bfd55f02e4b1d,2025-02-21 15:50:59,2025-03-03 10:21:47,9,156,17.333333333333332,81,75,20167309.981472068,10022.979406774552,20157287.002065293
0x660bfcea3a5faf823e8f8bf57dd558db034dea1d,2025-02-21 15:50:59,2025-03-03 08:13:47,9,221,24.555555555555557,84,137,2020197348.5117629,10061.509524471327,2020187287.0022383
