address,first_txn,last_txn,lifecycle_days,total_txns,avg_daily_txns,out_degree,in_degree,total_income,total_expense,final_balance
0x09278b36863be4ccd3d0c22d643e8062d7a11377,2025-02-21 18:45:23,2025-02-25 21:16:23,4,37,9.25,36,1,0.0001,3633.692788471218,-3633.692688471218
0x0a3b4bde9116a950a036204bf0d7a16d285f8995,,,0,0,0.0,0,0,0.0,0.0,0.0
0x0c014567daff377c36e032a2593f9f1177f77750,,,0,0,0.0,0,0,0.0,0.0,0.0
0x0e8c1e2881f35ef20343264862a242fb749d6b35,2025-02-26 16:26:35,2025-02-27 18:59:35,1,34,34.0,33,1,99999.99999999999,3963.0928000150975,96036.90719998488
0x0fa09c3a328792253f8dee7116848723b72a6d2e,2025-02-18 18:35:47,2025-02-19 02:51:59,0,13,0.0,6,7,0.13454254099956076,0.11579298382821995,0.018749557171340803
0x140c9ab92347734641b1a7c124ffdee58c20c3e3,2025-02-26 16:26:35,2025-02-27 03:18:59,0,49,0.0,48,1,99999.99999999999,5820.923513951804,94179.07648604819
0x1512fcb09463a61862b73ec09b9b354af1790268,2025-02-26 16:26:35,2025-03-03 06:24:35,4,27,6.75,26,1,99999.99999999999,3503.4588601214386,96496.54113987855
0x1542368a03ad1f03d96d51b414f4738961cf4443,2025-02-21 15:23:35,2025-02-22 09:14:47,0,8,0.0,5,3,45000.0,45000.0,0.0
0x1bb0970508316dc735329752a4581e0a4babc6b4,2025-02-26 16:26:35,2025-02-28 06:42:11,1,31,31.0,30,1,99999.99999999999,4058.432571868173,95941.5674281318
0x1eb27f136bfe7947f80d6cee3cf0bfdf92b45e57,2025-02-21 18:43:59,2025-02-25 12:06:59,3,49,16.333333333333332,48,1,0.0001,4786.685662164969,-4786.685562164968
0x21032176b43d9f7e9410fb37290a78f4fed6044c,2025-02-26 16:26:35,2025-02-26 16:26:35,0,1,0.0,0,1,99999.99999999999,0.0,99999.99999999999
0x2290937a4498c96effb87b8371a33d108f8d433f,2025-02-21 18:47:11,2025-02-26 10:32:47,4,38,9.5,37,1,0.0001,3095.9937643603334,-3095.9936643603332
0x23db729908137cb60852f2936d2b5c6de0e1c887,2025-02-21 18:46:11,2025-02-26 02:27:47,4,33,8.25,32,1,0.0001,3793.1191933777354,-3793.119093377735
0x30a822cdd2782d2b2a12a08526452e885978fa1d,2025-02-26 16:26:35,2025-02-26 18:45:23,0,37,0.0,36,1,99999.99999999999,3439.83523884925,96560.16476115074
0x363908dF2b0890E7E5C1E403935133094287D7D1,,,0,0,0.0,0,0,0.0,0.0,0.0
0x36ed3c0213565530c35115d93a80f9c04d94e4cb,2025-02-21 18:28:23,2025-02-21 18:28:23,0,1,0.0,0,1,0.0001,0.0,0.0001
0x3a21f4e6bbe527d347ca7c157f4233c935779847,2025-02-21 18:34:23,2025-02-21 18:34:23,0,1,0.0,0,1,0.0001,0.0,0.0001
0x40e98feeebad7ddb0f0534ccaa617427ea10187e,2025-02-26 16:26:35,2025-02-27 13:14:47,0,30,0.0,29,1,99999.99999999999,2934.066019648331,97065.93398035165
0x4571bd67d14280e40bf3910bd39fbf60834f900a,2025-02-22 06:55:11,2025-02-22 13:16:35,0,64,0.0,64,0,0.0,8114.740865466158,-8114.740865466158
0x47666fab8bd0ac7003bce3f5c3585383f09486e2,2025-02-21 14:16:11,2025-03-08 13:29:11,14,31,2.2142857142857144,19,12,153375.5509457229,285747.84458498727,-132372.29363926436
0x4c198b3b5f3a4b1aa706dac73d826c2b795ccd67,2025-02-21 18:50:23,2025-02-26 16:26:35,4,2,0.5,0,2,100000.00009999999,0.0,100000.00009999999
0x51e9d833ecae4e8d9d8be17300aee6d3398c135d,2025-02-21 18:40:11,2025-02-25 01:40:47,3,44,14.666666666666666,43,1,0.0001,2905.7539395538492,-2905.753839553849
0x52207ec7b1b43aa5db116931a904371ae2c1619e,2025-02-21 18:44:59,2025-02-25 15:48:11,3,44,14.666666666666666,43,1,0.0001,3547.139268686298,-3547.1391686862976
0x55cca2f5eb07907696afe4b9db5102bce5feb734,2025-02-26 16:26:35,2025-03-03 14:25:47,4,23,5.75,22,1,99999.99999999999,4037.005793228015,95962.99420677197
0x5af75eab6bec227657fa3e749a8bfd55f02e4b1d,2025-02-26 16:26:35,2025-02-26 16:26:35,0,1,0.0,0,1,99999.99999999999,0.0,99999.99999999999
0x660bfcea3a5faf823e8f8bf57dd558db034dea1d,2025-02-26 16:26:35,2025-02-28 07:02:47,1,4,4.0,3,1,99999.99999999999,406.4090578738415,99593.59094212615
